mol solvent,mol solute,target Gsolv kcal
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClC=C(C)Cl,-2.47574443
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,ClS(Cl)(=O)=O,-4.1798287
CCCCCCCCCCCCC,FC(F)(F)C(O)C(F)(F)F,-1.94203333
C1CCCC1,CCC(O)C(F)(F)C(F)(F)F,-3.88638624
Clc1ccccc1,CCNC(=O)NO,-7.94909608
CCOc1ccccc1,FC(F)(Cl)CC(F)(F)Cl,-4.22662533
OCCCCCCCCCC,CCC(C)C(C)=O,-4.76399904
C1OC1,CC(CCC1C(C)(C)S)CC1=O,-10.25341255
CN1CCCCC1=O,CCC(C)(C)CC,-3.24738122
C1CCCC1,CCOS(O)(=O)=O,-6.35473173
CN1CCCCC1=O,IC#N,-5.98078429
C1CCCC1,CCOC(C(CCc2ccccc2)NC(C)C(=O)N1CCCC1C(O)=O)=O,-16.83898271
CN1CCCCC1=O,FC(F)(F)c1ccc(C(C)=O)cc1,-8.28576021
OCCCCCCCCCC,CC1SCCS1,-6.11599362
CCOc1ccccc1,CCCCOCCOC(C)=O,-7.82314641
CC(C)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)N,-3.09069875
CCCCCCCCCCCCC,COC(C)(C)C(F)(F)F,-3.12757791
CC1OC1,Cc(ccc1C)cc1N(=O)=O,-9.1967624
CC(CC1)CS1(=O)=O,CC(C)CCC(F)(F)F,-2.80552208
CCOc1ccccc1,CN(C)c1ccc(N(C)C)cc1,-9.74783783
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,COCN(c1c(CC)cccc1CC)C(CCl)=O,-10.46060114
CCOC(=O)c1ccccc1C(OCC)=O,CCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCC)=O,-17.49501181
CC(C)c1ccccc1,COC(=O)N,-4.75895509
CCCCCCCCCCCCCCC=C,CCOc1cc(C)ccc1O,-7.47436152
CCCCC(CO)CC,CC(C)CCC(C)=NO,-7.96572713
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,CCC(C)C(C)=O,-3.72791125
CCCCCCCCCCCCCCC=C,NCC(F)F,-2.23480454
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC=CC(O)C,-4.20301253
C1OC1,CCC(F)=O,-4.18326068
Clc1ccccc1,OCC(Cl)C=C,-5.41003468
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCC=CC=CC=C,-5.21251384
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCON(=O)=O,-2.63063892
OCCCCCCCCCC,CCCCOC(F)(F)F,-3.17309773
CCCCCCCCCCCCC,NCC#N,-3.42173729
CCCCCCCCCCCCCCC=C,CCCON(=O)=O,-3.82547962
CCCCCCCCCCCCC,ClC=C(C)Cl,-3.67241387
CCOc1ccccc1,COC(N)N,-4.72352322
Clc1ccccc1,OCC([NH3+])C([O-])=O,-8.01111425
CC(C)CC(C)(C)C,CC(OCC=CC)=O,-4.99661132
CCC(O)(C)C,OCCCC(C)C,-7.36855565
CC(CC1)CS1(=O)=O,CC(C)C(=O)Oc(cc1)ccc1C,-8.24165187
ClC1CCCCC1,CC(C)(C)c2cc(c1ccccc1)cc(C(C)(C)C)c2O,-14.96546834
C1CCCC1,O1C=CCC=C1,-4.09122988
CC1OC1,CN(C)c(ccc1)cc1C,-8.25980572
OCCCCCCCCCC,FC(F)C(F)OC(F)(F)Cl,-3.0209274
CC(C)CC(C)(C)C,CC(CCC=C(C)C)C=O,-6.11771923
OCCCCCCCCCC,C=CC(OCCCCCCOC(=O)C=C)=O,-10.36715338
ClC1CCCCC1,FC(F)(F)C(C(F)(F)F)C(F)(F)Cl,-3.19751853
Clc1ccccc1,CCC(C)C(C)=O,-5.51662714
CCCCCCCCCCCCCCC=C,O=N(=O)c(ccc2NS(C)(=O)=O)cc2Oc1ccccc1,-15.09813782
CN1CCCCC1=O,CCCC(CCC)=O,-5.87984312
CC(CC1)CS1(=O)=O,CCNc1nc(NC(C)(C)C#N)nc(Cl)n1,-17.41961248
CCOc1ccccc1,CC1CC(OC1=O)=O,-8.11591865
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,FC(F)(F)n1cccc1,-3.18584292
Clc1ccccc1,CCCCCCCCn1ccnc1,-11.52079741
CC(CC1)CS1(=O)=O,CCOC(=O)NC,-6.8164804
ClC1CCCCC1,CC(C)C(F)(C)C,-4.12690929
CCOC(=O)c1ccccc1C(OCC)=O,CCC(O)C(F)(F)C(F)(F)F,-5.31548696
CNc1ccccc1,O=C(N)NC(=N)N,-12.82808344
OCCCCCCCCCC,ClCCC(F)(F)F,-3.10290522
CCCCCCCCCCCCC,CCNc1nc(NC(C)(C)C#N)nc(Cl)n1,-11.8863542
C1OC1,COCC(C)=O,-5.88747856
OCCCCCCCCCC,O=N(OCC(CON(=O)=O)ON(=O)=O)=O,-8.13500572
C1OC1,CCc(cc1CC)cc(CC)c1CC,-8.87186559
CNc1ccccc1,CC(CCC1C(C)(C)S)CC1=O,-10.35308988
CCCCCCCCCCCCCCC=C,FC(F)OC(Cl)Cl,-3.32261616
CNc1ccccc1,NCC(F)F,-4.29581786
CC(CC1)CS1(=O)=O,CCCCCC(C)C=O,-5.49405731
CCOc1ccccc1,ClC=C(C)Cl,-4.5287219
CCCCCCCCCCCCCCC=C,CCOC=C(C#N)C#N,-6.76955805
C1OC1,CC(Cl)C(C)=O,-5.86483462
C1CCCC1,FC(F)(F)C(OC(C(F)(F)F)=O)=O,-2.57110481
CC(C)c(cc1)ccc1C,C(CCC1c2ccccc2)C1,-7.85066945
C(CCc1cc2)Cc1cc2,COCCc1ccccn1,-7.51208584
CCCCCCCl,OCCCc1ccccc1,-8.61534877
CCCCCCCl,ClC(Cl)(Cl)C(O)=O,-6.66913136
CCCCCCCl,FCCl,-2.28588626
C1OCCOC1,CC(C)(C)C(C)=CC,-4.21693126
C(CCc1cc2)Cc1cc2,CNCC(C)(C)CF,-4.90894719
CC(Cl)(Cl)Cl,CC(C)(C)c(c(c1C)N(=O)=O)c(c(C)c1N(=O)=O)N(=O)=O,-13.48010885
CC(Cl)(Cl)Cl,O1C=CCC=C1,-4.4833359
C(CCc1cc2)Cc1cc2,COc1ccccc1N(=O)=O,-9.2912097
CC(Cl)(Cl)Cl,FCCl,-2.34618774
CC(C)c(cc1)ccc1C,CCOc1ccc(Cl)cc1,-7.73078371
C(CCc1cc2)Cc1cc2,CC(C)(C)c2cc(c1ccccc1)cc(C(C)(C)C)c2O,-14.68222241
CC(Cl)(Cl)Cl,CN(C)C(Cl)=S,-7.36875179
CC(Cl)(Cl)Cl,CSSCC=C,-6.07881719
C(CCc1cc2)Cc1cc2,COCBr,-4.23313682
C(CCc1cc2)Cc1cc2,FC(Cl)C(F)(F)Cl,-3.13450959
CCCCCCCl,CC(C)C(O)=O,-4.75809673
CCCCCCCl,CCCCCC(OC)=O,-6.137382
CC(C)c(cc1)ccc1C,FC1OC(F)(F)OC1(F)C,-3.81711013
C(CCc1cc2)Cc1cc2,CCC(O)C(C)=C,-4.80033606
C1OCCOC1,CCC(C)(C)OC(C)=O,-5.75510431
CC(Cl)(Cl)Cl,FC(C)CC(F)C(F)C,-5.56331739
C(CCc1cc2)Cc1cc2,OCN1C(=O)NC(C1(C)C)=O,-9.31668568
CC(Cl)(Cl)Cl,Fc1cn(C)c(=O)[nH]c1=O,-10.33460927
CC(C)c(cc1)ccc1C,OP(O)(O)=O,-7.71227447
CCCCCCCl,NCC(F)F,-3.32922365
C(CCc1cc2)Cc1cc2,CCC(C)c(cc1)ccc1O,-8.25480383
C1OCCOC1,CCC(=O)NC,-7.99169114
CC(Cl)(Cl)Cl,CCN(CC)C(=S)N(C)C,-9.6009774
C1OCCOC1,C1CCSCC1,-5.69468597
CC(C)c(cc1)ccc1C,ClCCS(Cl)(=O)=O,-7.08973309
CC(C)c(cc1)ccc1C,FC(F)(F)OC(F)(F)C(F)C(F)(F)F,-2.07764475
CC(Cl)(Cl)Cl,CCN(CC)c(cc1)ccc1C,-9.26617027
C1OCCOC1,CCC(CC)C=O,-5.40842877
CC(Cl)(Cl)Cl,ClS(Cl)(=O)=O,-5.18319755
CCCCCCCl,IC#N,-4.76463135
CC(Cl)(Cl)Cl,FC(F)OC(F)C,-3.27645681
Clc2c1ccccc1ccc2,FC(C)C(F)(O)C,-4.58774675
Clc2c1ccccc1ccc2,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-4.34090266
Clc2c1ccccc1ccc2,ClCC(Cl)C(F)(F)F,-4.18337067
Clc2c1ccccc1ccc2,CC1(C)N=NC(O1)=O,-6.89074404
Clc2c1ccccc1ccc2,CCCC(C)(CC)CC,-5.0967984
Clc2c1ccccc1ccc2,OCN1C(=O)NC(C1(C)C)=O,-9.726197
Clc2c1ccccc1ccc2,CNC(=O)NC(C)=O,-8.4602871
Clc2c1ccccc1ccc2,CC3C(C)(C)C(C1OC2)=C(CCC1CO2)C3(C)C,-11.18922888
NCCN,Cc1nccc(C)c1C,-5.82622206
Cc1ncccc1C,FCCl,-2.56444493
NCCN,COC(CN)C(F)(F)F,-5.3280688
OCc1occc1,COC(CCC(O)=O)=O,-10.71765889
c1ccccc1,O=N(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,-4.29932889
CN(C)P(=O)(N(C)C)N(C)C,C=CC(OCCCCCCOC(=O)C=C)=O,-11.3108722
Cc1ncccc1C,ClCC(O)C,-6.80292254
c1ccccc1,CC(C)(Oc(cc1)ccc1Cl)C(O)=O,-11.50056897
O1CCCC1,C(CC2)CCN2c1ccccc1,-9.72239881
CN(C)P(=O)(N(C)C)N(C)C,FC1(F)COCO1,-4.7483179
OCc1occc1,ClCC(O)C=C,-6.63743579
NCCN,FC(C)C(F)(F)C(F)(F)C(F)(F)C,-3.71515165
CN(C)P(=O)(N(C)C)N(C)C,CCC(OCCc1ccccc1)=O,-9.37370377
c1ccccc1,CC(Br)=N,-4.26782994
CN1CCN(C)C1=O,CC(C)C(NC(C)=O)C(=O)N,-14.32579142
OCc1occc1,CCOC(CCCCCOC(C)=O)=O,-10.86215479
O1CCCC1,CCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCC)=O,-19.03357055
NCCN,OC(=O)Cc1ccccc1O,-19.89799918
c1ccccc1,Cc1ccc(cc1)S(=O)(=O)NS(c(ccc2Cl)cc2N(=O)=O)(=O)=O,-23.00874621
CN1CCN(C)C1=O,CCOC(CCC)=O,-5.23522167
Cc1ncccc1C,C1CCSCC1,-5.70686591
CCc1ccccc1,CCCON(=O)=O,-4.73461169
NCCN,CCC(F)=O,-3.02503718
C=Cc1ccccc1,OCCOC(C)=O,-6.62941348
c1ccccc1,FC(F)(F)C(Cl)C(F)(F)C,-3.92619268
CN(C)P(=O)(N(C)C)N(C)C,CC(C)(C)OC=O,-4.75631698
CN(C)P(=O)(N(C)C)N(C)C,O=Cc2cc1ccccc1cc2,-10.40104059
NCCN,CCCC(CCC)=O,-4.10331955
C=Cc1ccccc1,CN(C)B(N(C)C)N(C)C,-5.55098297
NCCN,CC(C)(C)C(Cl)=O,-3.50967186
OCc1occc1,C(CCC1c2ccccc2)C1,-7.05090128
CN(C)P(=O)(N(C)C)N(C)C,CCCCOC(F)(F)F,-3.54645523
CN1CCN(C)C1=O,FC(F)(F)C(O)(C(F)(F)F)c1ccccc1,-9.51978784
OCc1occc1,FC(F)(F)C(C)(C(F)(F)F)C(C)(C)C,-4.08860033
CN1CCN(C)C1=O,ClC=CCl,-4.37117638
CN(C)P(=O)(N(C)C)N(C)C,CCN1CCCC1=O,-7.3532894
O1CCCC1,CC2(CCC(CC2CCC3C1CC=CC41C)=O)C3CC4,-14.33801357
c1ccccc1,CCCCCC=CC=CC=C,-7.76061408
NCCN,NC(N)=Nc(sc1)nc1CSCCC(N)=NS(=O)(=O)N,-39.91347856
CN1CCN(C)C1=O,Brc1cccnc1,-7.10907093
CCc1ccccc1,Oc1cc(ccc1)NC(C)=O,-11.19416434
CC(C)C(C)C,FCC(F)(F)C(F)(F)OC(F)(F)C,-3.38585103
NCCN,OC(CNCCC#N)=O,-16.69716472
Cc1ncccc1C,FC(O)(Cl)Cl,-11.34585077
CCc1ccccc1,CCC(C)C(C)=O,-5.23833635
CC(C)C(C)C,CSCC(OC)=O,-5.25356813
Cc1ncccc1C,FC(F)(F)C(Cl)=CCl,-3.84955576
O1CCCC1,FC(F)(F)OCC(F)(F)C(F)C(F)(F)F,-4.50946107
c1ccccc1,FC(C)=O,-3.12685755
CCc1ccccc1,Brc1cccnc1,-6.68393603
CN1CCN(C)C1=O,ClSCl,-3.2932353
NCCN,CCC(Cl)N(=O)=O,-5.6690688
NCCN,CCOC(OCC)N(C)C,-3.52472358
CC(C)C(C)C,CN(C)c1ccc(N(C)C)cc1,-8.97435721
CN1CCN(C)C1=O,CC1SCCS1,-7.13406288
NCCN,CCOc1cc(C)ccc1O,-9.96312162
NCCN,C(CCC1c2ccccc2)C1,-5.34919818
NCCN,CC(=O)N1CCOCC1,-7.77711293
NCCN,CC=C=O,-1.77104563
OCc1occc1,FC(F)(F)c1ccc(C(C)=O)cc1,-7.61844355
CCc1ccccc1,C=CCOC(=O)C=CC(OCC=C)=O,-9.31224126
OCc1occc1,NCC(F)F,-5.13086774
NCCN,FCC(F)(F)C(F)(F)OC(F)(F)C,-3.91445762
CC(C)C(C)C,NC(N)=Nc(sc1)nc1CSCCC(N)=NS(=O)(=O)N,-18.30421205
O1CCCC1,CCc(cc1CC)cc(CC)c1CC,-9.43470223
Cc1ncccc1C,Clc2ccc(cc2)S(=O)(=NS(C(F)(F)F)(=O)=O)NS(c(cc1)ccc1N(=O)=O)(=O)=O,-25.06814958
NCCN,CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O,-14.99101103
CCc1ccccc1,OOCCCC,-4.83304582
OCc1occc1,OCC2(C)C1CCC(C(CCC(C)=CCO)C1(C)CCC2)=C,-17.77719301
O1CCCC1,CCCCCC(OC)=O,-6.44340369
OCc1occc1,COCN(c1c(CC)cccc1CC)C(CCl)=O,-12.91340453
NCCN,CCc(cc1CC)cc(CC)c1CC,-5.18586823
c1ccccc1,CC(C)OC(F)(C)C,-5.08302249
CC(C)C(C)C,CC(C)NC(C)(C)C,-4.84251337
NCCN,CC(S)=O,-5.12412313
Nc1ccccc1,CCOC(C(O)C)=O,-7.21892205
Nc1ccccc1,CCOC(=O)N1CCNCC1,-11.22946908
Nc1ccccc1,ClC(CC(O)=O)C=C,-9.72511274
Nc1ccccc1,FC(F)(F)C(C)C=O,-4.34629261
Nc1ccccc1,CCCON(=O)=O,-4.89072339
Nc1ccccc1,FC(F)(F)C(F)(F)C(F)(O)C(F)(F)F,-5.42560069
Oc1cc(C)ccc1,O=N(OCC(CON(=O)=O)ON(=O)=O)=O,-8.44749544
Oc1cc(C)ccc1,CC1(C)CCCC(C)=C1C=CC(C)=O,-13.47218507
Oc1cc(C)ccc1,OCC(Cl)C=C,-6.89147273
Oc1cc(C)ccc1,CC(C)NC(C)(C)C,-7.57146832
Oc1cc(C)ccc1,ClCc(cc1)ccc1Cl,-7.51988788
Oc1cc(C)ccc1,CC1CCCCC1=O,-8.21123099
Oc1cc(C)ccc1,OCCOCc1ccccc1,-11.08924463
Oc1cc(C)ccc1,CNC(=S)N(C)C,-10.81009529
Brc2c1ccccc1ccc2,COC(OC)C=C(C)CCC=C(C)C,-8.79520614
FC(F)(F)C(F)(F)C(F)(F)F,CCCCON(=O)=O,-3.34019979
Brc2c1ccccc1ccc2,C(CCC1c2ccccc2)C1,-7.86549326
FC(F)(F)C(F)(F)C(F)(F)F,CCCCC(CC)COC(=O)c1cc(C(OCC(CC)CCCC)=O)ccc1C(OCC(CC)CCCC)=O,-16.76729651
CCCCCCCC,OC(=O)c1occc1,-5.19737014
FC(F)(F)C(F)(F)C(F)(F)F,O=N(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,-3.21602416
CCCCCCCC,CCC(F)(F)Cl,-2.70422188
CCCCCCCCBr,FCOC(F)(C(F)F)C(F)(F)F,-3.01272231
CCCCCCCCBr,OCC([NH3+])C([O-])=O,-7.33858974
Brc2c1ccccc1ccc2,CC1(C)NC(=O)NC1=O,-9.2273441
CCCCCCCCBr,C1CCSCC1,-5.45972688
CCCCCCCCBr,Cc1ccccn1=O,-6.79520018
CCCCCCCC,CC=NCN=C,-4.36699908
CCCCCCCC,FC(F)(F)N,-1.57814762
CCCCCCCC,OCCON(=O)=O,-4.14065414
CCCCCCCCBr,OC1=CC2=C(C=C1)C(=NO2)C1=CC2=C(C=C1)C=C(O)C=C2,-18.4439471
CCCCCCCCBr,CSC(C)C,-4.35470159
CCCCCCCC,CCOP(OCC)(Oc1ccc(cc1)N(=O)=O)=S,-12.02587302
Brc2c1ccccc1ccc2,CC(C)I,-4.73555006
CCCCCCCCBr,Oc1ccc(C=C)cc1,-7.84656365
FC(F)(F)C(F)(F)C(F)(F)F,FC1OC(F)(F)OC1(F)C,-3.07833108
CCCCCCCCBr,CC(CCC(C)=C)=O,-5.92384926
CCCCCCCCBr,CC(C)C(F)(F)Cl,-3.37703147
CCCCCCCC,NCC(F)N,-3.19512947
CCCCCCCCBr,FC(F)(F)C(Cl)C(F)(F)C,-3.42947849
FC(F)(F)C(F)(F)C(F)(F)F,CCC(=O)NC,-2.99556082
Brc2c1ccccc1ccc2,OC(CCc(cc1)ccc1O)=O,-10.56538379
Brc2c1ccccc1ccc2,O=c1[nH]c([nH]cc1)=S,-10.43284542
CCCCCCCC,OCCNCCCC,-5.59731024
Brc2c1ccccc1ccc2,FC(F)(F)OC(F)(F)C(F)C(F)(F)F,-1.54838136
FC(F)(F)C(F)(F)C(F)(F)F,FC(F)OC(Cl)Cl,-2.83347182
CCCCCCCCBr,FC(F)C(F)(Cl)C(F)(F)C(F)C(F)(F)F,-3.75162617
FC(F)(F)C(F)(F)C(F)(F)F,CC1OCC(C1O)=O,-3.72920578
Brc2c1ccccc1ccc2,COCCc1ccccn1,-7.80882839
CC(=O)c1ccccc1,ClC(Cl)C(F)(F)C(F)(Cl)Cl,-5.47307391
